molecule_chembl_id,MW,LogP,HBD,HBA,RotB,TPSA,AromaticRings,units,IC50,smiles,pIC50,Molecule
CHEMBL4855757,572.66,4.9756,2,8,6,86.64,4,nM,0.1,Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4C(CF)CC5)nc3c2F)c2ccccc2c1,10,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807A500>
CHEMBL4857438,593.078,5.2389,2,8,5,86.64,4,nM,0.2,Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)c2c(Cl)cccc2c1,9.698970004,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807A3B0>
CHEMBL4863339,564.665,4.6188,2,8,5,86.64,4,nM,0.3,C#Cc1cccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,9.522878745,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807A180>
CHEMBL4859236,575.088,5.2909,2,8,5,86.64,4,nM,0.4,Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4CCC5)nc3c2F)c2c(Cl)cccc2c1,9.397940009,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807A110>
CHEMBL4876040,582.655,4.5668,2,8,5,86.64,4,nM,0.4,C#Cc1cccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,9.397940009,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807A260>
CHEMBL4858364,600.645,4.7059,2,8,5,86.64,4,nM,0.4,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,9.397940009,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807A420>
CHEMBL4857719,593.078,5.43,2,8,5,86.64,4,nM,0.5,Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4CCC5)nc3c2F)c2c(Cl)c(F)ccc2c1,9.301029996,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807A2D0>
CHEMBL4855521,641.1114071,5.2805,0,9,3,102.68,4,nM,0.51,[2H]C1([2H])Oc2ccc(F)c(F)c2-c2nc3c(cc2Cl)c(N2C[C@@H](C)N(C(=O)C=C)C[C@@H]2C)nc(=O)n3-c2c(ccnc2C(C)C)OC1([2H])[2H],9.292429824,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8077610>
CHEMBL4852458,636.103,5.2293,0,9,3,106.34,4,nM,0.51,C=CC(=O)N1C[C@H](C)N(c2nc(=O)n3c4nc(c(Cl)cc24)-c2c(ccc(F)c2F)OCCCc2ncnc(C(C)C)c2-3)C[C@H]1C,9.292429824,<rdkit.Chem.rdchem.Mol object at 0x0000024DD80776F0>
CHEMBL4856277,653.105,5.942,0,8,3,93.45,4,nM,0.56,C=CC(=O)N1CCN(c2nc(=O)n3c4nc(c(Cl)cc24)-c2c(F)cccc2OCC(F)(F)CCc2ccnc(C(C)C)c2-3)[C@@H](C)C1,9.251811973,<rdkit.Chem.rdchem.Mol object at 0x0000024DD80778B0>
CHEMBL4876243,588.659,4.4015,2,9,6,95.87,4,nM,0.6,COC1CN2CCCC2(COc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cc(O)cc5cccc(F)c45)c(F)c3n2)C1,9.22184875,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807A570>
